country	year	VXa	SES	RISK	HIV	TB	age_from	age_thru	value
IND	1999.999	NA	NA	over	NA	S	0	14	239.717794836056
IND	1999.999	NA	NA	over	NA	C	0	14	24.0659686347497
IND	1999.999	NA	NA	over	NA	I	0	14	9684.0234097513
IND	1999.999	NA	NA	over	NA	Dm	0	14	7499.83906071439
IND	1999.999	NA	NA	over	NA	Ds	0	14	1419.8692125452
IND	1999.999	NA	NA	over	NA	Dc	0	14	1089.69160644528
IND	1999.999	NA	NA	over	NA	Rt	0	14	0
IND	1999.999	NA	NA	over	NA	R	0	14	860.098595345173
IND	1999.999	NA	NA	over	NA	TBdead	0	14	349.218005727869
IND	1999.999	NA	NA	over	NA	Dccount	0	14	1035.54789645363
IND	1999.999	NA	NA	over	NA	Dscount	0	14	3373.45208389164
IND	1999.999	NA	NA	over	NA	Dmcount	0	14	3558.97769987568
IND	1999.999	NA	NA	normal	NA	S	0	14	2521.1699112068
IND	1999.999	NA	NA	normal	NA	C	0	14	253.107601158574
IND	1999.999	NA	NA	normal	NA	I	0	14	101849.211723246
IND	1999.999	NA	NA	normal	NA	Dm	0	14	78877.6177075133
IND	1999.999	NA	NA	normal	NA	Ds	0	14	14933.1072353891
IND	1999.999	NA	NA	normal	NA	Dc	0	14	11460.5496539935
IND	1999.999	NA	NA	normal	NA	Rt	0	14	0
IND	1999.999	NA	NA	normal	NA	R	0	14	9045.86453725095
IND	1999.999	NA	NA	normal	NA	TBdead	0	14	3672.81006024137
IND	1999.999	NA	NA	normal	NA	Dccount	0	14	10891.1071868399
IND	1999.999	NA	NA	normal	NA	Dscount	0	14	35479.4098478258
IND	1999.999	NA	NA	normal	NA	Dmcount	0	14	37430.6275331752
IND	1999.999	NA	NA	mild	NA	S	0	14	702.621122795337
IND	1999.999	NA	NA	mild	NA	C	0	14	70.5381839294387
IND	1999.999	NA	NA	mild	NA	I	0	14	28384.2065458228
IND	1999.999	NA	NA	mild	NA	Dm	0	14	21982.2869020939
IND	1999.999	NA	NA	mild	NA	Ds	0	14	4161.68562297731
IND	1999.999	NA	NA	mild	NA	Dc	0	14	3193.92367406376
IND	1999.999	NA	NA	mild	NA	Rt	0	14	0
IND	1999.999	NA	NA	mild	NA	R	0	14	2520.97864152896
IND	1999.999	NA	NA	mild	NA	TBdead	0	14	1023.57001678858
IND	1999.999	NA	NA	mild	NA	Dccount	0	14	3035.22659305375
IND	1999.999	NA	NA	mild	NA	Dscount	0	14	9887.70438382033
IND	1999.999	NA	NA	mild	NA	Dmcount	0	14	10431.4863617046
IND	1999.999	NA	NA	moderate	NA	S	0	14	669.556599369674
IND	1999.999	NA	NA	moderate	NA	C	0	14	67.2187399798181
IND	1999.999	NA	NA	moderate	NA	I	0	14	27048.4791789605
IND	1999.999	NA	NA	moderate	NA	Dm	0	14	20947.8263419954
IND	1999.999	NA	NA	moderate	NA	Ds	0	14	3965.84159366072
IND	1999.999	NA	NA	moderate	NA	Dc	0	14	3043.62138351958
IND	1999.999	NA	NA	moderate	NA	Rt	0	14	0
IND	1999.999	NA	NA	moderate	NA	R	0	14	2402.34435251583
IND	1999.999	NA	NA	moderate	NA	TBdead	0	14	975.40201599853
IND	1999.999	NA	NA	moderate	NA	Dccount	0	14	2892.39240043945
IND	1999.999	NA	NA	moderate	NA	Dscount	0	14	9422.40064811113
IND	1999.999	NA	NA	moderate	NA	Dmcount	0	14	9940.59288585965
IND	2000.999	NA	NA	over	NA	S	0	14	237.889649352717
IND	2000.999	NA	NA	over	NA	C	0	14	24.0793508231161
IND	2000.999	NA	NA	over	NA	I	0	14	9734.86565842284
IND	2000.999	NA	NA	over	NA	Dm	0	14	7545.95309074069
IND	2000.999	NA	NA	over	NA	Ds	0	14	1428.37359238091
IND	2000.999	NA	NA	over	NA	Dc	0	14	1096.44986158601
