country	year	VXa	SES	RISK	HIV	TB	age_from	age_thru	value
IND	1899.999	NA	NA	over	NA	S	0	14	3952.22699565544
IND	1899.999	NA	NA	over	NA	C	0	14	2013.018843288
IND	1899.999	NA	NA	over	NA	I	0	14	153.8404644464
IND	1899.999	NA	NA	over	NA	Dm	0	14	1620.234678744
IND	1899.999	NA	NA	over	NA	Ds	0	14	25.94012086676
IND	1899.999	NA	NA	over	NA	Dc	0	14	21.6849590842
IND	1899.999	NA	NA	over	NA	Rt	0	14	0
IND	1899.999	NA	NA	over	NA	R	0	14	396.0573659152
IND	1899.999	NA	NA	over	NA	TBdead	0	14	0
IND	1899.999	NA	NA	over	NA	Dccount	0	14	0
IND	1899.999	NA	NA	over	NA	Dscount	0	14	0
IND	1899.999	NA	NA	over	NA	Dmcount	0	14	0
IND	1899.999	NA	NA	normal	NA	S	0	14	41566.5252991348
IND	1899.999	NA	NA	normal	NA	C	0	14	21171.40507596
IND	1899.999	NA	NA	normal	NA	I	0	14	1617.977298488
IND	1899.999	NA	NA	normal	NA	Dm	0	14	17040.39920748
IND	1899.999	NA	NA	normal	NA	Ds	0	14	272.8185125642
IND	1899.999	NA	NA	normal	NA	Dc	0	14	228.065948989
IND	1899.999	NA	NA	normal	NA	Rt	0	14	0
IND	1899.999	NA	NA	normal	NA	R	0	14	4165.430917384
IND	1899.999	NA	NA	normal	NA	TBdead	0	14	0
IND	1899.999	NA	NA	normal	NA	Dccount	0	14	0
IND	1899.999	NA	NA	normal	NA	Dscount	0	14	0
IND	1899.999	NA	NA	normal	NA	Dmcount	0	14	0
IND	1899.999	NA	NA	mild	NA	S	0	14	11584.1136079556
IND	1899.999	NA	NA	mild	NA	C	0	14	5900.22764412
IND	1899.999	NA	NA	mild	NA	I	0	14	450.911706136
IND	1899.999	NA	NA	mild	NA	Dm	0	14	4748.96371356
IND	1899.999	NA	NA	mild	NA	Ds	0	14	76.0313887474
IND	1899.999	NA	NA	mild	NA	Dc	0	14	63.559362833
IND	1899.999	NA	NA	mild	NA	Rt	0	14	0
IND	1899.999	NA	NA	mild	NA	R	0	14	1160.857796648
IND	1899.999	NA	NA	mild	NA	TBdead	0	14	0
IND	1899.999	NA	NA	mild	NA	Dccount	0	14	0
IND	1899.999	NA	NA	mild	NA	Dscount	0	14	0
IND	1899.999	NA	NA	mild	NA	Dmcount	0	14	0
IND	1899.999	NA	NA	moderate	NA	S	0	14	11038.9788499342
IND	1899.999	NA	NA	moderate	NA	C	0	14	5622.569872632
IND	1899.999	NA	NA	moderate	NA	I	0	14	429.6923317296
IND	1899.999	NA	NA	moderate	NA	Dm	0	14	4525.483068216
IND	1899.999	NA	NA	moderate	NA	Ds	0	14	72.45344104164
IND	1899.999	NA	NA	moderate	NA	Dc	0	14	60.5683339938
IND	1899.999	NA	NA	moderate	NA	Rt	0	14	0
IND	1899.999	NA	NA	moderate	NA	R	0	14	1106.2291944528
IND	1899.999	NA	NA	moderate	NA	TBdead	0	14	0
IND	1899.999	NA	NA	moderate	NA	Dccount	0	14	0
IND	1899.999	NA	NA	moderate	NA	Dscount	0	14	0
IND	1899.999	NA	NA	moderate	NA	Dmcount	0	14	0
IND	1900.999	NA	NA	over	NA	S	0	14	2915.12947007414
IND	1900.999	NA	NA	over	NA	C	0	14	1488.28947802803
IND	1900.999	NA	NA	over	NA	I	0	14	1647.41590627602
IND	1900.999	NA	NA	over	NA	Dm	0	14	1319.08885199402
IND	1900.999	NA	NA	over	NA	Ds	0	14	183.901949873882
IND	1900.999	NA	NA	over	NA	Dc	0	14	74.6932701042837
IND	1900.999	NA	NA	over	NA	Rt	0	14	0
IND	1900.999	NA	NA	over	NA	R	0	14	540.138916337202
IND	1900.999	NA	NA	over	NA	TBdead	0	14	14.3455853124213
IND	1900.999	NA	NA	over	NA	Dccount	0	14	93.0020640122884
IND	1900.999	NA	NA	over	NA	Dscount	0	14	453.708392566199
IND	1900.999	NA	NA	over	NA	Dmcount	0	14	310.305768194714
IND	1900.999	NA	NA	normal	NA	S	0	14	30659.1202887108
IND	1900.999	NA	NA	normal	NA	C	0	14	15652.6996827086
IND	1900.999	NA	NA	normal	NA	I	0	14	17326.2707384202
IND	1900.999	NA	NA	normal	NA	Dm	0	14	13873.1758571785
IND	1900.999	NA	NA	normal	NA	Ds	0	14	1934.14119694945
IND	1900.999	NA	NA	normal	NA	Dc	0	14	785.567151096777
IND	1900.999	NA	NA	normal	NA	Rt	0	14	0
IND	1900.999	NA	NA	normal	NA	R	0	14	5680.77136147747
IND	1900.999	NA	NA	normal	NA	TBdead	0	14	150.875983458224
IND	1900.999	NA	NA	normal	NA	Dccount	0	14	978.12515599131
IND	1900.999	NA	NA	normal	NA	Dscount	0	14	4771.76068043761
IND	1900.999	NA	NA	normal	NA	Dmcount	0	14	3263.56066549613
